CAT,CNT,POS,NAME,CRD,ANNOUNCED2,RUNS2,4S2,6S1,6S2,S/R1,S/R2,BALLS FACED1,30/50/100_1,30/50/100_2,DUCK1,DUCK2,OVERS BOWLED1,WICK1,WICK2,LBW/BOW BONUS1,LBW/BOW BONUS2,2/3/4/5 WICK BONUS1,2/3/4/5 WICK BONUS2,MAIDEN OVER1,MAIDEN OVER2,E/R1,E/R2,CATCH1,CATCH2,CATCH BONUS1,CATCH BONUS2,RUNOUT/STUMPING1,RUNOUT/STUMPING2,TOTAL,OPPOSITE TEAM,DT
BW,CSK,9,DBV,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,3,75,0,0,3,4,0,0,5,4,0,0,0,0,0,0,87,KOL,1
WK,CSK,7,MSD,8.5,4,50,7,1,2,131.58,2,38,50,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,81,KOL,1
AR,CSK,5,RJD,9.5,4,26,0,1,2,92.86,0,28,0,0,0,0,4,0,0,0,0,0,0,0,0,6.25,2,1,8,0,0,0,0,42,KOL,1
BT,CSK,3,RUT,8.5,4,28,2,2,4,133.33,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,KOL,1
BT,CSK,4,ARD,9,4,15,1,1,2,88.24,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,30,KOL,1
AR,CSK,8,MST,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,1,0,0,0,9.5,0,0,0,0,0,0,0,29,KOL,0
BW,CSK,11,TDP,8,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7.67,0,1,8,0,0,0,0,12,KOL,0
BT,CSK,2,DCY,8.5,4,3,0,0,0,37.5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,KOL,0
AR,CSK,6,SDB,8.5,4,3,0,0,0,50,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,KOL,0
BW,CSK,10,AML,8.5,4,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,4,KOL,0
BT,CSK,1,RGD,9.5,4,0,0,0,0,0,0,4,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,KOL,0
BT,KOL,1,ARH,8.5,4,44,6,1,2,129.41,0,34,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,CSK,1
BW,KOL,9,UDY,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,2,50,0,0,2,0,0,0,5,4,0,0,0,0,0,0,58,CSK,1
BT,KOL,4,SIY,9.5,4,20,1,0,0,105.26,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,6,39,CSK,1
BT,KOL,3,NRN,9,4,21,2,1,2,123.53,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,37,CSK,1
BW,KOL,11,VCV,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,1,0,0,0,5.75,4,0,0,0,0,0,0,33,CSK,1
WK,KOL,5,SBL,8.5,4,25,1,1,2,113.64,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,CSK,1
AR,KOL,7,ARL,10,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,1,0,0,0,7.75,0,0,0,0,0,0,0,29,CSK,0
AR,KOL,8,SNN,9.5,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3.75,6,1,8,0,0,1,6,24,CSK,0
AR,KOL,2,VIY,9,4,16,2,0,0,100,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,CSK,0
WK,KOL,6,SJK,8,4,3,0,0,0,100,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,19,CSK,0
BW,KOL,10,SMV,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8.75,0,0,0,0,0,0,0,4,CSK,0
